Age,Main,Occupation,Male,Female
22-29,"Managers, directors and senior officials",Corporate managers and directors,26665,23854
30-39,"Managers, directors and senior officials",Corporate managers and directors,42691,35640
40-49,"Managers, directors and senior officials",Corporate managers and directors,49180,37594
50-59,"Managers, directors and senior officials",Corporate managers and directors,49264,34078
60+,"Managers, directors and senior officials",Corporate managers and directors,36959,19056
18-21,"Managers, directors and senior officials","Managers, directors and senior officials",,15277
22-29,"Managers, directors and senior officials","Managers, directors and senior officials",25063,22086
30-39,"Managers, directors and senior officials","Managers, directors and senior officials",39640,33120
40-49,"Managers, directors and senior officials","Managers, directors and senior officials",47212,35241
50-59,"Managers, directors and senior officials","Managers, directors and senior officials",46590,32002
60+,"Managers, directors and senior officials","Managers, directors and senior officials",35275,20040
18-21,"Managers, directors and senior officials",Other managers and proprietors,,16314
22-29,"Managers, directors and senior officials",Other managers and proprietors,21064,18548
30-39,"Managers, directors and senior officials",Other managers and proprietors,29308,23570
40-49,"Managers, directors and senior officials",Other managers and proprietors,35662,27821
50-59,"Managers, directors and senior officials",Other managers and proprietors,33061,27693
60+,"Managers, directors and senior officials",Other managers and proprietors,25930,
18-21,"Process, plant and machine operatives","Process, plant and machine operatives",15137,13210
18-21,"Process, plant and machine operatives","Process, plant and machine operatives",15152,13247
22-29,"Process, plant and machine operatives","Process, plant and machine operatives",20653,16315
22-29,"Process, plant and machine operatives","Process, plant and machine operatives",20766,16360
30-39,"Process, plant and machine operatives","Process, plant and machine operatives",23567,15878
30-39,"Process, plant and machine operatives","Process, plant and machine operatives",23152,16045
40-49,"Process, plant and machine operatives","Process, plant and machine operatives",25462,16003
40-49,"Process, plant and machine operatives","Process, plant and machine operatives",25068,15949
50-59,"Process, plant and machine operatives","Process, plant and machine operatives",24270,15995
50-59,"Process, plant and machine operatives","Process, plant and machine operatives",24242,15866
60+,"Process, plant and machine operatives","Process, plant and machine operatives",19521,13672
60+,"Process, plant and machine operatives","Process, plant and machine operatives",20392,13792
18-21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,,12120
22-29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,20494,
30-39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,23902,
40-49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,25680,16018
50-59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,24307,19115
60+,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,18643,
18-21,Professional occupations,"Business, media and public service professionals",16278,
22-29,Professional occupations,"Business, media and public service professionals",30903,28512
30-39,Professional occupations,"Business, media and public service professionals",38093,33245
40-49,Professional occupations,"Business, media and public service professionals",42260,33108
50-59,Professional occupations,"Business, media and public service professionals",40064,32576
60+,Professional occupations,"Business, media and public service professionals",32437,22929
18-21,Professional occupations,Health professionals,,
22-29,Professional occupations,Health professionals,26929,26480
30-39,Professional occupations,Health professionals,35801,27423
40-49,Professional occupations,Health professionals,41066,28994
50-59,Professional occupations,Health professionals,40964,29116
60+,Professional occupations,Health professionals,36720,21041
18-21,Professional occupations,Professional occupations,16233,11958
22-29,Professional occupations,Professional occupations,29201,26848
30-39,Professional occupations,Professional occupations,38418,30602
40-49,Professional occupations,Professional occupations,42786,31648
50-59,Professional occupations,Professional occupations,41422,32335
60+,Professional occupations,Professional occupations,34547,22405
18-21,Professional occupations,"Science, research, engineering and technology professionals",,
22-29,Professional occupations,"Science, research, engineering and technology professionals",29624,28340
30-39,Professional occupations,"Science, research, engineering and technology professionals",40000,33026
40-49,Professional occupations,"Science, research, engineering and technology professionals",44000,36071
50-59,Professional occupations,"Science, research, engineering and technology professionals",42694,36969
60+,Professional occupations,"Science, research, engineering and technology professionals",38615,
18-21,Professional occupations,Teaching and educational professionals,,
22-29,Professional occupations,Teaching and educational professionals,27475,26293
30-39,Professional occupations,Teaching and educational professionals,37209,31985
40-49,Professional occupations,Teaching and educational professionals,41576,33520
50-59,Professional occupations,Teaching and educational professionals,41130,35426
60+,Professional occupations,Teaching and educational professionals,27595,22846
18-21,Sales and customer service occupations,Customer service occupations,,8515
22-29,Sales and customer service occupations,Customer service occupations,17278,16021
30-39,Sales and customer service occupations,Customer service occupations,21157,16693
40-49,Sales and customer service occupations,Customer service occupations,22084,17880
50-59,Sales and customer service occupations,Customer service occupations,21925,16930
60+,Sales and customer service occupations,Customer service occupations,14770,12517
18-21,Sales and customer service occupations,Sales and customer service occupations,7057,5834
22-29,Sales and customer service occupations,Sales and customer service occupations,14534,11655
30-39,Sales and customer service occupations,Sales and customer service occupations,17715,11149
40-49,Sales and customer service occupations,Sales and customer service occupations,18472,11325
50-59,Sales and customer service occupations,Sales and customer service occupations,17657,10541
60+,Sales and customer service occupations,Sales and customer service occupations,11993,7648
18-21,Sales and customer service occupations,Sales occupations,6905,5607
22-29,Sales and customer service occupations,Sales occupations,13584,10140
30-39,Sales and customer service occupations,Sales occupations,16144,9110
40-49,Sales and customer service occupations,Sales occupations,16620,10052
50-59,Sales and customer service occupations,Sales occupations,16090,9666
60+,Sales and customer service occupations,Sales occupations,11469,7270
18-21,Skilled trades occupations,Skilled agricultural and related trades,14055,
22-29,Skilled trades occupations,Skilled agricultural and related trades,17721,
30-39,Skilled trades occupations,Skilled agricultural and related trades,19000,14415
40-49,Skilled trades occupations,Skilled agricultural and related trades,20076,19471
50-59,Skilled trades occupations,Skilled agricultural and related trades,18703,
60+,Skilled trades occupations,Skilled agricultural and related trades,15895,
18-21,Skilled trades occupations,Skilled construction and building trades,13423,
22-29,Skilled trades occupations,Skilled construction and building trades,23275,21022
30-39,Skilled trades occupations,Skilled construction and building trades,26072,
40-49,Skilled trades occupations,Skilled construction and building trades,27110,
50-59,Skilled trades occupations,Skilled construction and building trades,27370,
60+,Skilled trades occupations,Skilled construction and building trades,24412,
18-21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",16674,
22-29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",25741,18743
30-39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",28963,27069
40-49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",30000,
50-59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",30369,26982
60+,Skilled trades occupations,"Skilled metal, electrical and electronic trades",27519,14362
18-21,Skilled trades occupations,Skilled trades occupations,15891,
22-29,Skilled trades occupations,Skilled trades occupations,22559,15604
30-39,Skilled trades occupations,Skilled trades occupations,25439,16784
40-49,Skilled trades occupations,Skilled trades occupations,27300,13777
50-59,Skilled trades occupations,Skilled trades occupations,27973,14722
60+,Skilled trades occupations,Skilled trades occupations,24569,13163
18-21,Skilled trades occupations,"Textiles, printing and other skilled trades",14388,
22-29,Skilled trades occupations,"Textiles, printing and other skilled trades",17564,15293
30-39,Skilled trades occupations,"Textiles, printing and other skilled trades",20277,15231
40-49,Skilled trades occupations,"Textiles, printing and other skilled trades",20760,12438
50-59,Skilled trades occupations,"Textiles, printing and other skilled trades",20661,14261
60+,Skilled trades occupations,"Textiles, printing and other skilled trades",18776,12797
